,STATE,CITY
5709,ma,boston
5710,fl,
5720,ca,
5721,ca,
5722,ca,
5723,ca,
5724,ca,
5726,wa,washington
5727,dc,washington
5736,pa,philadelphia
5739,ca,los angeles
5740,ma,boston
5741,in,
5745,ca,
5746,ca,san francisco
5751,tx,
5752,fl,
5764,va,
5773,in,indianapolis
5782,il,chicago
5788,ri,
5791,wa,
5823,ny,boston
5841,ca,
5842,ca,
5846,va,
5847,va,
5859,ny,new york
5864,va,
5868,ma,boston
5869,ny,new york
5871,il,chicago
5874,il,chicago
5875,ri,
5877,ca,
5895,il,chicago
5896,nc,
5902,ca,los angeles
5903,il,chicago
5904,ca,
5908,ca,los angeles
5909,il,chicago
5913,ri,
5914,fl,
5926,ca,los angeles
5929,dc,washington
5930,il,chicago
5932,ca,
5934,il,chicago
5940,ny,new york
5944,ny,new york
5945,ny,new york
5946,oh,
5949,ny,new york
5957,fl,
5962,nc,
5969,wa,washington
5972,ca,los angeles
5987,fl,
5990,ca,
5991,ny,new york
6009,ca,
6011,nc,
6013,il,chicago
6018,wa,washington
6025,fl,
6036,wa,washington
6038,ny,new york
6039,ny,
6040,ma,boston
6046,ca,los angeles
6052,ny,new york
6068,ny,
6070,ma,boston
6072,wa,washington
6076,ca,san francisco
6087,ca,san francisco
6105,wa,washington
6108,wa,washington
6114,il,chicago
6134,ca,
6145,fl,
6149,fl,
6165,ca,los angeles
6167,ca,los angeles
6168,mo,
6173,ca,los angeles
6179,tx,austin
6181,al,
6188,ma,boston
6193,ny,
6195,fl,
6199,ny,new york
6203,il,chicago
6211,wa,washington
6217,tx,houston
6228,ny,new york
6230,tn,memphis
6244,pa,
6255,ca,
6256,ca,
6257,ca,
6258,ca,
6259,ca,
6260,tn,memphis
6269,ca,
6270,ca,
6274,il,chicago
6278,oh,
6288,fl,
6298,ga,
6299,ca,
6304,tx,
6327,ny,new york
6329,ny,new york
6332,ma,boston
6334,tx,austin
6343,wa,washington
6362,tx,austin
6364,tx,dallas
