,STATE,CITY,KEYWORD,STATE,COUNTRY
2789,md,,,,USA
2792,tn,,,,USA
2801,ca,san francisco,,,USA
2816,ma,boston,,,USA
2819,ca,los angeles,,,USA
2820,ca,san diego,,,USA
2826,ny,new york,,,USA
2831,ca,,,,USA
2842,tx,,,,USA
2844,ky,,,,USA
2865,ca,,,,USA
2867,co,,,,USA
2875,ma,boston,,,USA
2883,ny,new york,,,USA
2893,ca,,,,USA
2894,ca,,,,USA
2895,ca,,,,USA
2896,ca,,,,USA
2897,ca,,,,USA
2899,dc,washington,,,USA
2907,ny,new york,,,USA
2919,tx,austin,,,USA
2959,ca,,,,USA
2963,mi,detroit,,,USA
2981,tx,austin,,,USA
3023,ma,,,,USA
3037,ca,los angeles,,,USA
3040,ga,,,,USA
3049,nj,,,,USA
3051,ma,,,,USA
3054,ca,,,,USA
3055,ca,san jose,,,USA
3075,il,,,,USA
3085,il,chicago,,,USA
3109,ca,san diego,,,USA
3123,fl,,,,USA
3125,tx,,,,USA
3127,ca,los angeles,,,USA
3130,tx,,,,USA
3133,tx,,,,USA
3143,ca,,,,USA
3144,co,denver,,,USA
3153,nv,,,,USA
3155,ca,,,,USA
3169,nv,las vegas,,,USA
3170,wi,milwaukee,,,USA
3172,ca,,,,USA
3173,md,baltimore,,,USA
3187,nv,las vegas,,,USA
3205,va,,,,USA
3206,nv,las vegas,,,USA
3209,il,chicago,,,USA
3222,nv,las vegas,,,USA
3245,ca,,,,USA
3246,wa,washington,,,USA
3255,ca,,,,USA
3271,tx,,,,USA
3273,tx,,,,USA
3274,ca,,,,USA
3275,ca,,,,USA
3276,ca,,,,USA
3277,ca,,,,USA
3278,ca,,,,USA
3280,ca,,,,USA
3286,il,chicago,,,USA
3292,ca,,,,USA
3308,ny,new york,,,USA
3323,ca,san francisco,,,USA
3327,ny,new york,,,USA
3329,tx,,,,USA
3354,tx,fort worth,,,USA
3360,ca,san francisco,,,USA
3369,ny,new york,,,USA
3417,nv,las vegas,,,USA
3419,ca,,,,USA
3420,ca,,,,USA
3422,ca,san francisco,,,USA
3434,hi,,,,USA
3445,tx,,,,USA
3452,ca,los angeles,,,USA
3457,il,,,,USA
3466,il,chicago,,,USA
3470,ca,,,,USA
3478,wa,,,,USA
3497,tx,,,,USA
3499,tx,houston,,,USA
3502,tx,,,,USA
3529,al,,,,USA
3534,ny,new york,,,USA
3553,ca,san francisco,,,USA
3570,tn,,,,USA
3572,dc,washington,,,USA
3573,ca,,,,USA
3583,ca,san francisco,,,USA
3584,ca,san francisco,,,USA
3590,ca,san francisco,,,USA
3599,co,denver,,,USA
3600,fl,,,,USA
3601,ca,,,,USA
3610,fl,,,,USA
3611,ca,,,,USA
3616,ca,,,,USA
3620,ca,,,,USA
3628,ca,,,,USA
3629,ca,,,,USA
3632,ca,,,,USA
3635,oh,,,,USA
3638,ut,,,,USA
3639,ky,,,,USA
3641,ca,,,,USA
3646,il,chicago,,,USA
3647,al,,,,USA
3649,ca,,,,USA
3651,ca,los angeles,,,USA
3654,ca,,,,USA
3658,ca,,,,USA
3660,tx,,,,USA
3661,ca,,,,USA
3662,ca,,,,USA
3668,hi,,,,USA
3671,ca,san francisco,,,USA
3672,tx,austin,,,USA
3676,il,chicago,,,USA
3678,ca,,,,USA
3685,nj,,,,USA
3686,tx,houston,,,USA
3688,ca,,,,USA
3690,ca,san francisco,,,USA
3691,ny,,,,USA
3696,pa,,,,USA
3697,wa,seattle,,,USA
3700,ca,,,,USA
